Date,SPY,AGG
2015-06-10,178.62083435058594,84.4889907836914
2015-06-11,179.1965789794922,84.94221496582031
2015-06-12,177.82484436035156,84.8406753540039
2015-06-15,177.0627899169922,84.94221496582031
2015-06-16,178.0281219482422,85.0828857421875
2015-06-17,178.31600952148438,85.09066772460938
2015-06-18,180.1703338623047,85.06724548339844
2015-06-19,179.3705596923828,85.33287811279297
2015-06-22,180.2894287109375,84.91094970703125
2015-06-23,180.41712951660156,84.71559143066406
2015-06-24,179.1067657470703,84.84844207763672
2015-06-25,178.56219482421875,84.75469207763672
2015-06-26,178.52813720703125,84.55152893066406
2015-06-29,174.78440856933594,85.05155944824219
2015-06-30,175.1502685546875,84.99691772460938
2015-07-01,176.55416870117188,84.78242492675781
2015-07-02,176.39248657226562,84.89982604980469
2015-07-06,175.89047241210938,85.20516967773438
