Date,SPY,AGG,Lega,Ten,Bund
2015-03-27,174.20925903320312,86.39247131347656,449.6165,122.9375,136.95
2015-03-30,176.3345947265625,86.43138885498047,448.1121,122.84375,136.89
2015-03-31,174.79356384277344,86.5789566040039,447.7604,123.15625,137.17
2015-04-01,174.1754150390625,86.85997009277344,449.0041,123.625,137.35
2015-04-02,174.80201721191406,86.74320983886719,450.0479,123.421875,137.16
2015-04-03,,,450.5219,124.171875,
2015-04-06,175.9789581298828,86.7977294921875,450.7975,123.671875,
2015-04-07,175.51324462890625,86.8132553100586,449.9592,123.609375,137.18
2015-04-08,176.10597229003906,86.82107543945312,449.7084,123.609375,137.49
2015-04-09,176.88504028320312,86.60311889648438,447.1469,123.09375,137.53
2015-04-10,177.85025024414062,86.60311889648438,446.6646,123.0625,137.6
2015-04-13,177.04588317871094,86.69652557373047,445.9818,123.234375,137.61
2015-04-14,177.38455200195312,86.78996276855469,449.3174,123.5625,137.95
2015-04-15,178.1804656982422,86.90670013427734,448.3932,123.6875,138.37
2015-04-16,178.1296844482422,86.85997009277344,449.9746,123.9375,138.59
2015-04-17,176.08053588867188,86.93006134033203,451.2727,124.0625,138.7
2015-04-20,177.6894073486328,86.86779022216797,450.4742,123.78125,138.77
2015-04-21,177.4777374267578,86.77437591552734,449.8053,123.609375,138.41
2015-04-22,178.34983825683594,86.51746368408203,448.6813,123.109375,137.6
2015-04-23,178.79861450195312,86.64981079101562,449.9486,123.390625,137.58
2015-04-24,179.21351623535156,86.7977294921875,451.7679,123.640625,137.7
2015-04-27,178.4684295654297,86.82888793945312,451.995,123.5625,137.6
2015-04-28,179.03570556640625,86.49413299560547,453.1484,123.203125,137.68
2015-04-29,178.29904174804688,86.29952239990234,453.501,122.765625,136.14
2015-04-30,176.5124053955078,86.29952239990234,452.5223,122.625,135.11
2015-05-01,178.4260711669922,86.05459594726562,451.1086,122.03125,
2015-05-04,178.93408203125,85.8908462524414,450.8621,122.015625,134.08
2015-05-05,176.88504028320312,85.81285095214844,448.8439,121.671875,133.26
2015-05-06,176.1567840576172,85.5242691040039,450.0579,121.34375,132.34
2015-05-07,176.85960388183594,85.73486328125,449.0465,121.640625,132.41
2015-05-08,179.18814086914062,86.01565551757812,450.1226,122.078125,133.17
2015-05-11,178.33294677734375,85.46971130371094,448.0756,121.140625,132.54
2015-05-12,177.7995147705078,85.46188354492188,448.2983,121.296875,131.45
2015-05-13,177.8333282470703,85.45409393310547,449.8982,121.234375,131.13
2015-05-14,179.6876983642578,85.5866928100586,450.5915,121.640625,131.11
2015-05-15,179.8824462890625,85.9454345703125,453.1458,122.28125,131.97
